城市,id,景點名稱,google map,開放時間,電話,地址,簡介
台中,1,台中國家歌劇院,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3640.2588229891735!2d120.63772787355293!3d24.162654072828214!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34693dec4ca3a271%3A0xd8b5a337271e60e2!2z6Ie65Lit5ZyL5a625q2M5YqH6Zmi!5e0!3m2!1szh-TW!2stw!4v1703493676160!5m2!1szh-TW!2stw,週一 休館 | 週二至週四及週五 11:30~21:00 | 週五至週六 11:30~22:00, 04 2251 1777,台中市西屯區惠來路二段101號,歌劇院建築本體高達37.7公尺，地下2層、地上6層，鋼筋混凝土構造，部份為鋼構造。 建築師伊東豐雄的設計概念是以人類最原始的「洞窟」、「地穴」為發想，繼而設計出美聲涵洞的曲牆建築。 主建築由五十八面曲牆組成，興建難度極高，甚至被稱為「全球最難蓋的房子」。
台中,2,國立自然科學博物館,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1820.200336712867!2d120.66547413822465!3d24.15767704190976!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34693d78069134cb%3A0xf7a65bba8f974f36!2z5ZyL56uL6Ieq54S256eR5a245Y2a54mp6aSo!5e0!3m2!1szh-TW!2stw!4v1703493709305!5m2!1szh-TW!2stw,週一 休館 | 週二至週日 09:00~17:00,04 2322 6940,台中市北區館前路1號,國立自然科學博物館位於臺中市北區，是全臺首座將自然科學生活化的博物館，亦是一處可以實地動手操作學習的知識殿堂！ 本館展示呈現多樣性，包括：太空劇場、科學中心、生命科學廳、地球環境廳、人類文化廳、植物園等，內容豐富且深具教育意義。
台中,3,彩虹眷村,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3641.079032609373!2d120.6080419235517!3d24.133862473950373!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34693e87f82595db%3A0x9a8836cb8c007336!2z5b2p6Jm555y35p2R!5e0!3m2!1szh-TW!2stw!4v1703493742921!5m2!1szh-TW!2stw,週一 休息 | 週二至週日 09:00~17:00, 04 2380 2351,台中市南屯區春安路56巷25號,彩虹村位於臺中市南屯區春安路56巷內，園區內所有的彩繪作品皆來自彩虹爺爺-黃永阜先生，他融入在地感動的元素，發揮巧思，在老屋上彩繪五顏六色，充滿童趣的圖畫。 走入繽紛夢幻的圖塊巷弄間，彷彿進入童話世界，吸引國內外遊客前往觀賞拍照朝聖，成為臺中人氣景點之一。
台中,4,麗寶樂園,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3635.6724039171004!2d120.69294907355946!3d24.323059466554252!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34691019f254b6d5%3A0x7184608a09f163a9!2z6bqX5a-25qiC5ZyS!5e0!3m2!1szh-TW!2stw!4v1703493769781!5m2!1szh-TW!2stw,週一至週日 09:30~17:00,04 2558 2459,台中市后里區福容路8號,麗寶樂園渡假區是臺灣最具規模的渡假園區，園內有水陸雙樂園、五星級渡假飯店-福容大飯店、密室逃脫旗艦館、超級休息站-麗寶道之驛、麗寶OUTLET MALL、國際級賽車場，以及臺灣最大的120米超級摩天輪，不論是玩樂園、嘗美食、住飯店、逛OUTLET、開卡丁車、搭摩天輪，都能一站滿足所有人的需求
台中,5,高美濕地,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3635.9695095392735!2d120.54502202355897!3d24.31269861696059!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3469133c166c6143%3A0x8677d74a6115be29!2z6auY576O5r-V5Zyw!5e0!3m2!1szh-TW!2stw!4v1703493817176!5m2!1szh-TW!2stw,24小時,04 2656 5810,台中市清水區美堤街,"高美濕地位於清水大甲溪出海口南側，廣達1,500公頃的高美濕地，擁有豐富的天然資源，是國內少數幾處雁鴨集體繁殖區之一。 曾在高美濕地棲息的鳥類有多達120餘種，為重要之生態保育區。 目前已逐漸取代大肚溪口，成為喜好賞鳥人士的新興賞線。
南投,1,九族文化村,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d7297.36936133029!2d120.93917457770995!3d23.865328200000025!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3468d68fab1ac707%3A0x578fc49549e644c6!2z5Lmd5peP5paH5YyW5p2R!5e0!3m2!1szh-TW!2stw!4v1703493853799!5m2!1szh-TW!2stw,週一至週五 09:30~17:00 | 週六至週日 09:30~19:00, 04 9289 5361,南投縣魚池鄉金天巷45號,"原住民部落景觀區分布臺灣十族的建築、圖像、美食、音樂、服飾與生活，從達悟、阿美、泰雅、賽夏、鄒、邵、布農、卑南、魯凱、排灣全都備齊，沿著全程1,865公尺的綠蔭人行步道，石板或木造的各款住屋依原貌、原材具體展現。 此外，九族廣場傳統山地歌舞秀、石音劇場的傳統邵族杵音與各部落不同的傳統技藝表演與山地食物，亦不容錯過。"
南投,2,清境農場青青草原,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3643.277934435035!2d121.15957762354861!3d24.056515176958932!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3468c2110152ab77%3A0x6a1ce9e22cfb5a1c!2z5riF5aKD6L6y5aC06Z2S6Z2S6I2J5Y6f!5e0!3m2!1szh-TW!2stw!4v1703493894301!5m2!1szh-TW!2stw,週一至週日 08:00~17:00, 04 9280 2172,南投縣仁愛鄉仁和路170號,清境農場在南投縣境內，成立於民國50年（西元1961年）2月20日，是行政院退除役官兵輔導委員會為了安置早年投效疆場的國軍退除役官兵在此從事農墾開發而設置的。清境農場是中橫公路霧社支線往合歡山必經之地。民國54年（西元1965年），當時的行政院長蔣經國先生，感於此處「清新空氣任君取，境地幽雅是仙居」，於是將原名「見晴農場」改為「清境農場」。由於清境農場遠離城市酷熱，清新、自然與靜謐，溫和的氣候加上豐沛的雨量，使得此地成為經營牧場、種植溫帶蔬果與花卉的好地方。
南投,3,日月老茶廠,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3647.9105970143614!2d120.92105637354196!3d23.89278873329843!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3468d64c409b94a3%3A0xc85ae6d33f31ca69!2z5pel5pyI6ICB6Iy25bug!5e0!3m2!1szh-TW!2stw!4v1703493944869!5m2!1szh-TW!2stw,週一 09:00~17:00 | 週二至週日 08:00~17:00,04 9289 5508,南投縣魚池鄉有水巷38號,日月老茶廠位在南投魚池鄉，靠近日月潭風景區，擁有得天獨厚的地理環境，所栽植出的阿薩姆紅茶品質極佳，老茶廠前身為台灣農林公司的魚池茶廠，在歷經九二一大地震後，開始重建轉型，從單純的製茶廠轉型成為兼具生產紅茶、有機農業及推廣健康飲食與環境的觀光茶廠。
南投,4,竹山指南宮,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3650.040193387923!2d120.71997047353892!3d23.817169736213142!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34692d5211071189%3A0xbae46024c50e0e0b!2z56u55bGx57Sr5Y2X5a6u!5e0!3m2!1szh-TW!2stw!4v1703494028062!5m2!1szh-TW!2stw,週一至週日 07:00~21:00,04 9262 3722,南投縣竹山鎮大公街40號,竹山紫南宮，又名社寮紫南宮，是臺灣一座土地公廟，主祀福德正神尊像，位於南投縣竹山鎮社寮里大公街。 由於『北天燈． 南烽炮． 中丁酒』香火旺盛，在每年農曆正月十六日吃丁酒是人潮最多時候，與中和烘爐地的南山福德宮、屏東車城的福安宮並稱「三大土地公廟」。
南投,5,茶二指故事館,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3649.8224411650526!2d120.6413278735392!3d23.824912185915117!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346eccc940c8aa57%3A0x96bbf91768a8afa!2z6Iy25LqM5oyH5pWF5LqL6aSo!5e0!3m2!1szh-TW!2stw!4v1703494057097!5m2!1szh-TW!2stw,週一至週日 09:30~17:30, 04 9258 3126,南投縣名間鄉埔中巷32-1號,「茶二指故事館」園區主要由主館、工廠與綠地休憩庭園組成，在園區後方，還有一片諾大的茶園，茶園上林立了幾位有趣的採茶「指」人立牌供遊客拍照。 主要展館中，除了訴說茶二指的來源、為何老闆少了兩指的故事之外，還有展示許多茶葉產品，大方提供試吃、讓遊客決定是否購買；產品皆採二指創意包裝，品牌形象十分活潑開朗。
台南,1,安平古堡,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3672.603789657098!2d120.15783467350671!3d23.001592767114182!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e767378e3e467%3A0x9b1e15dd6ac9adf1!2z5a6J5bmz5Y-k5aCh!5e0!3m2!1szh-TW!2stw!4v1703494104532!5m2!1szh-TW!2stw,週一至週日 08:30~17:30,06 226 7348,台南市安平區國勝路82號,荷蘭人於西元1624年，在安平建造了臺灣第一座城堡「熱蘭遮城」，也就是現在的安平古堡，這裡曾是荷蘭人統治的中樞，更是對外貿易的總樞紐，原本的建築格局分為方形內城與長方形外城。 西元1661年，鄭成功來台驅荷後，將此地改名為安平，故熱蘭遮城也稱為「王城」或「臺灣城」，俗稱安平古堡，是臺灣最早的一座城池。
台南,2,台南林百貨,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3672.870272602901!2d120.19994827350634!3d22.991797417479418!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e7662e05c92ad%3A0xc3452d88c851706b!2z5Y-w5Y2X5p6X55m-6LKo!5e0!3m2!1szh-TW!2stw!4v1703494148060!5m2!1szh-TW!2stw,週一至週日 11:00~21:00,06 221 3000,台南市中西區忠義路二段63號,「林百貨」在末廣町店鋪住宅群組中，樓層最高，達6層、面積最大合計共584坪，佔全部面積之17.39%；同時擁有唯一的電梯，此於臺灣南部地區首見於商業建築的進步象徵。 銷售經營的商品具有多樣性，又皆為進口舶來品，為日人逛選購物及本地人辦嫁粧採購的高級店，北部人來南部旅遊觀光，一定會來「林百貨」參觀。
台南,3,赤崁樓,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3672.7162017541027!2d120.1999336735066!3d22.9974612172682!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e7661777b896d%3A0xf2656ec0c86f579c!2z6LWk5bSB5qiT!5e0!3m2!1szh-TW!2stw!4v1703494177330!5m2!1szh-TW!2stw,週一至週日 08:30~21:00,06 220 5647,台南市中西區民族路二段212號,赤崁樓乃荷蘭人於西元1653年創建，原稱普羅民遮城（Provintia荷文為永恆之意），漢人則稱之為「赤崁樓」、「番仔樓」或「紅毛樓」；「赤崁樓」雖歷代都有改建，至今仍大約維持原貌。 赤崁樓從荷蘭時期便是行政中心，西元1661年鄭成功改普羅民遮城為承天府治。
台南,4,十鼓文創園區,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3674.3219292408553!2d120.22704067350432!3d22.93836811946873!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e74697afd4303%3A0xe76eda38e5955400!2z5Y2B6byT5paH5Ym15ZyS5Y2A!5e0!3m2!1szh-TW!2stw!4v1703494207740!5m2!1szh-TW!2stw,週一至週五 10:00~17:30 | 週六至週日 09:30~17:30, 06 266 2225,台南市仁德區文華路二段326號,十鼓文創園區是日治時代老糖廠改建而成的藝術文化村，園區內有刺激的煙囪溜滑梯、飛天宅急便，還可以欣賞夢糖劇場鼓樂表演，就像來到大人版的遊樂園！編輯帶你看看園區內有什麼設施、優惠門票、交通住宿等資訊，推薦大家可以順便安排的周邊景點！
台南,5,奇美博物館,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3674.4251174366646!2d120.22345187350422!3d22.934565719610074!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e747aaaaaaaab%3A0xa88c13e665c7f4a6!2z5aWH576O5Y2a54mp6aSo!5e0!3m2!1szh-TW!2stw!4v1703494249333!5m2!1szh-TW!2stw,週一至週日 09:30~17:30 | 週三休館, 06 266 0808,台南市仁德區文華路二段66號,奇美博物館是一座綜合性的博物館，擁有西洋藝術、樂器、兵器與動物標本等多元的典藏品，館內展廳包括藝術廳、樂器廳、兵器廳、動物廳、羅丹廳、雕塑大道以及特展廳等等，提供文明之奇與藝術之美；館外結合西洋神話元素打造特色景點，寄望創建一處大眾共享共賞的園地，成為人們的心靈避風港。
高雄,1,衛武營國家藝術文化中心,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3682.825239535001!2d120.33793538885496!3d22.623000300000005!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e04b4a82164fd%3A0xfc0458161ba32226!2z6KGb5q2m54ef5ZyL5a626Jed6KGT5paH5YyW5Lit5b-D!5e0!3m2!1szh-TW!2stw!4v1703494284527!5m2!1szh-TW!2stw,週一至週日 11:00~21:00, 07 262 6666,高雄市鳳山區三多一路1號,氣勢磅礡的衛武營國家藝術文化中心，是南台灣第一座國際級表演藝術場館，白色波浪外形猶如一艘太空船，造型既前衛又充滿科技感，頓時吸引眾人的目光，更是社群打卡的熱門景點。 占地約有10公頃的場館內設有歌劇院、音樂廳、戲劇院、表演廳、餐廳等設施，戶外擁有廣闊的青青草地，且鄰近都會公園，成為踏青、野餐的好去處。
高雄,2,旗山老街,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3675.778826086242!2d120.4794042735022!3d22.884627321465423!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e6a52aa7523d9%3A0x3e52b36b38ff9596!2z5peX5bGx6ICB6KGX!5e0!3m2!1szh-TW!2stw!4v1703494313284!5m2!1szh-TW!2stw,24小時 (根據店家營業時間不同),,高雄市旗山區中山路1號,旗山老街位於臺灣高雄市旗山區，指的是旗山的中山路，為日治時期開闢的「本通」。 在這條老街上有指定為歷史建築的「石拱圈亭仔腳」與巴洛克式街屋立面，此外還有旗山車站與旗山區農會等文化資產。 而這條老街在2001年的歷史建築百景徵選活動中，被票選為第24名。
高雄,3,駁二藝術特區,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3682.9067257381416!2d120.27996397349207!3d22.619958031236425!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e047620e1c45b%3A0xe6d6d1bd1c764df2!2z6aeB5LqM6Jed6KGT54m55Y2A!5e0!3m2!1szh-TW!2stw!4v1703494353650!5m2!1szh-TW!2stw,週一至週四 10:00~18:00 | 週五至週日 10:00~20:00,07 521 4899,高雄市鹽埕區大勇路1號,駁二藝術特區的前身為高雄港倉庫，建於1973年，過去儲放魚粉與砂糖，隨著產業轉型，一度遭遺忘閒置；直到2000年高雄市政府因尋找國慶煙火施放地點的機緣下，才讓這些舊倉庫起死回生、開創新生命，見證高雄港的繁華、沒落、再起與轉型。 從過去到現在，駁二藝術特區都是高雄人不可缺少的倉庫群。
高雄,4,義大遊樂世界,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3679.9302640818933!2d120.40642287349634!3d22.7308332271558!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e111bbe79e287%3A0xdf4693162b1707e0!2z576p5aSn6YGK5qiC5LiW55WM!5e0!3m2!1szh-TW!2stw!4v1703494384275!5m2!1szh-TW!2stw,週日至週五 09:00~17:30 | 週六 09:00~20:00,07 656 8080,高雄市大樹區學城路一段10號,義大遊樂世界是南臺灣規模最大的主題遊樂園區，為全臺唯一希臘情境之主題樂園，園內分為衛城、聖托里尼山城和特洛伊城堡3個主題區，遊樂設施數量目前位居全臺第一，還有年度國際大秀-奇幻之旅及精彩檔期日間遊行。,
高雄,5,旗山糖廠,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3675.860146535885!2d120.48911077350199!3d22.881624121576806!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x346e6ae300726833%3A0x715c86624ad7d8a9!2z5peX5bGx57OW5bug!5e0!3m2!1szh-TW!2stw!4v1703494409200!5m2!1szh-TW!2stw,週一至週日 09:00~18:00, (07) 661-3265,高雄市旗山區忠孝街33號,旗山糖廠創建於1909年（民國前三年），於民國91年停止糖廠的製糖作業，逐漸將糖廠營運轉為多角化經營，改為糖廠公園，園內也從單純的製糖工廠，改為商業經營，製造冰品或各類食品，尤其是特製的酵母冰，已成為糖廠最膾炙人口的特色商品之一，遊客到此地必點的商品。
花蓮,1,遠雄海洋公園,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3647.671505275599!2d121.6009613735422!3d23.90126448297123!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3468a0ed6d6407f9%3A0x2f6eb4ab11dcd20a!2z6YGg6ZuE5rW35rSL5YWs5ZyS!5e0!3m2!1szh-TW!2stw!4v1703498536650!5m2!1szh-TW!2stw,週一至週五 09:30~17:00 | 週六至週日 09:00~17:00,03 812 3199,花蓮縣壽豐鄉福德189號,遠雄海洋公園佔地廣大，是台灣著名以結合遊樂與教育意義的海洋休閒園區，除規劃完善的八大主題區之外，還有空中纜車、室外電扶梯、美食商店街，而精采絕倫的四大主題表演則包含海豚秀、海獅秀、美人魚海牛生態解說以及水晶城堡秀等，場場皆是值回票價主題表演。
花蓮,2,七星潭,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d58292.969873705275!2d121.58698499373635!3d24.055363786410293!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34689d87e68820f5%3A0xd027880d5fd378a!2sQixingtan%20Beach!5e0!3m2!1szh-TW!2stw!4v1703498571322!5m2!1szh-TW!2stw,24小時,03-8221592,花蓮縣新城鄉七星街79巷5號,七星潭是花蓮縣唯一的縣級風景區，又稱月牙灣。 有斷層形成的海峽與優美的弧形海灣，具有豐富的自然人文景觀、海水潔淨湛藍，黑石晶瑩剔透，在此可遠眺青山蒼鬱，公路綿延、風景區範圍從海邊延伸到七星潭社區。
花蓮,3,知卡宣親水公園,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3646.290988522697!2d121.58031017354422!3d23.950148281081987!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3468a16bd18ddf6b%3A0x56256c6d9984218!2z55-l5Y2h5a6j6Kaq5rC05YWs5ZyS!5e0!3m2!1szh-TW!2stw!4v1703498588182!5m2!1szh-TW!2stw,週二至週日 07:00~17:30 | 週一休息, 03 842 2045,花蓮縣吉安鄉中正路二段299號,知卡宣綠森林親水公園位於花蓮的吉安鄉，佔地有11公頃，最早是叫做南埔綠森林公園，擁有大片的花園、大草皮、花園迷宮，適合全家來這裡散步。 這裡最具人氣的就是暑假限定的大型戲水樂園，且2022年7月全新打造共融遊戲場，非玩水的時間也可以帶小朋友來放電！
